text,label
Item was a bit tight. Not true to size but the style is beautiful.,1
"The seam around the ankle inside was so pronounced that it chaffed after only a few minutes.  Perhaps it will wear down eventually, but at this cost I won't compromise.",1
Overall happy with the quality and comfort. But not a pair I could wear all day.,3
"Bought these to use in shower area at my gym. They fit perfectly; I wear a size 7 shoe & ordered the size 6-7 product. The plastic is firm, but has some yield to it so it was surprisingly comfortable. The shoes are also cute & cheerful; several people asked me where I had gotten them.",4
Stiff leather. Strange feel and uncomfortable fit.,0
"Cute, funny glasses....perfect for that Elvis look at a 70's party.",3
"They are difficult to put on and the left foot pinky toe always feels squished, it could be that my toe has been slowly turning inward for many years. I have been able to wear them for longer periods of time 1-5 hours 4-5 days week so I am happy about that. I bought these shoes to promote foot health and hope to minimize some of my chronic pain, so far so good I have high hopes.",3
"Shoes are VERY heavy!<br /><br />Shipping weight of 2 pounds indicates the shoes should be about 1 pound each, right?<br />Was I ever surprised!<br /><br />I have a high accuracy scale and weighed the shoe, 37.6 oz EACH.<br />At 16oz to a pound, that means each shoe weighs 2.4 pounds!!!!!!<br /><br />So if you're expecting a lightweight hiker, be forewarned!",2
"Cute purse, but not well made.  The stitching on the inside did not last 2 weeks.  Very unfortunate.",0
"It looked perfect for my needs in the pictures. However, the bag has no structure to it. Sides slouch and do not stand up, and the internal zippered compartment is a black hole. Have to use multiple smaller bags inside it to be able to find anything. Included shoulder strap is too narrow and uncomfortable to use.",2
good，good,4
Very Comfortable,4
I returned these sandals because I could not get them on my foot. I have a high arch and wide foot and these were not for me.,1
Cute and fits well.,3
"They're kind of a weird pink, don't go with much, just some contrast for jeans or black. Reasonably comfortable, though I have bunions and they hit the hurty spot. Cuter in picture than in reality.",2
Runs a half size larger,3
"I was looking for loafers that had a bit of a rise from the toe to the heel without looking like high heeled shoes.  I have a problem with one of my ankles, and I can't wear flat shoes comfortably for long.  I discovered Bernie Mev woven shoes ( [[ASIN:B00E3Z8QEA Bernie Mev Womens Lulia Casual Shoes]] - LOVE that shoe!!)  and I've been in Heaven ever since.  I've also been more broke than normal - these are not cheap shoes.  I put these in my cart at about $65, and the instant the price dropped twenty bucks, I snapped these up.  I also have the bronze version of these shoes.  I also have about 3 different versions of the Lulia style.  I also have a couple of other brands.  (Hey - they won't be made forever.)<br /><br />These are really comfortable!  Because the tops are elastic, they are comfy even when my feet swell a bit over the course of the day.  I actually bought a half size too small accidentally (size 40 instead of 41 - it's like size 9 US), and my feet still feel great by the end of the day.",4
Comfortable but kind of large my foot is narrow wish they would have narrow in size 7.,2
"I need cushioning between my feet & the ground, the more the better without sacrificing comfort.  This are great!",3
Okay as a pair of cheap skater shoes go...,2
Love it!!!,4
The shoes fit well and looked nice. I bought these shoes at the beginning of June and they lasted me about a month before one of the straps came loose. This product wasn't put together too well.,0
Note that lens come with a logo printed onto the lens and it can not be removed.,1
good material but the sole will come off after the first visit to the beach. Epoxy will fix this but to still have to go this step for a good shoe is a little bit much.,2
I ordered my normal size (8W) for this brand.  They are too narrow.  Also no cushioning at all.  Very uncomfortable!  I am returning them.,0
I Love these shoes! They are just a tiny bit tight. I will have to wear nylon socks so they wont blister my toes.  Other then that they are perfect!,3
A little more retro than I wanted but overall good for price.,2
The size was 8 1/2 but fits like a 7 too small be warned,0
"Bought as a replacement Teva shoe for bicycling. Last style was perfect, this one OK. It is more like a skate shoe (more feeling through the sole) and one of the little decorative stitches near the top ripped out after a few months. They're not bad, but will try a different style next time.",2
"These sunglasses are of the &#34;hangover&#34; variety...as in they have large, over-sized lenses. They look really nice and they come with a bag to keep them in and keep them from being scratched. They look like designer glasses. What I really love about them though is how light they are. They do not feel heavy or dig into my skin at all. They also do a great job of protecting my eyes from the sun. I love that they are polarized. For the price, this is a great pair of sunglasses. I would recommend them.<br /><br />* I received this product at a discount in exchange for my honest, unbiased review.",4
"At first they were wonderful, but after 3-4 months, the upper heel area folded down inside itself and is now very uncomfortable. Plus they make my feet hot as they are not breathable. Too warm for Florida, but probably okay elsewhere.",2
"I love Rainbows but these are NOT them. I have purchased authentic Rainbows in the past and the logo on these does not match, nor does the material. The logo in these pictures does not even match the ones I received! On top of that I received a very aggressive email from the seller saying that I'm a liar and I should #getmyfactsstraight. I'm sorry but that's completely inappropriate! If I wanted knock-offs I would buy them in China Town for $5 not on Amazon where I expect quality items only.",0
Little bit large,3
"This is the third pair of Halflinger Clogs I have purchased for myself. These are perfect!! I absolutely LOVE them. I wear them primarily as slippers, but love that I can run out to the mailbox or drop the kids off at school without any concerns of looking like I am wearing slippers. I have been known to get to work before I realize that I still have my slippers on. I have plantar fasciitis and these were recommended to me by my podiatrist. They have saved my feet. I used to have so much pain, but now that I wear supportive footwear all the time (sadly no more barefoot for me), I rarely have any issues. These are absolutely adorable with the two tone and the embroidery on them. I can't say enough good things about these. LOVE THEM!!!<br /><br />I did NOT receive this product for free, nor did I receive it at a discounted price. I paid full price for this item. All opinions and experiences are my own.",4
Your foot hits farther forward--almost to the arch.  I am having a hard time getting used to the feel.,1
"Beautifully made, a treat to wear - unfortunately compared to another pair of their shoes I have in the same size, these are somewhat smaller and quite narrow especially for your toes! But all in all a great buy and very happy with them!",3
The heel broke on first try on...but honestly it's cheaper to fix than send back.,0
Material is cheap and smells terrible out of the box. The shoes are too high-- all of the pressure of your body weight goes right into the ball of your foot. I love to wear heels but I wouldn't last more than an hour in these. They were also hard to get on and off. Bummed because they looked cute in the pics.,1
Great looking shoe!  My 6 years old has yet to master tying his shoes so these super cool Under Armour running shoes are perfect!!,4
"I like the height of the sole, it keeps me up off the cold floors",3
Loved these shoes in the black leather.  Ordered them in the red leather and the leather was thicker and not as soft.  Rubbed off the skin on both my feet.  Had to return them.  Called fitflop.  They said leather should be the same.  Will try another pair and keep my fingers crossed.,0
"Pros:<br />Casual design<br />Coloring is accurate in pic<br />Fit was perfect. I wear a size 12 in everything and this shoe was no different.<br /><br />Cons:<br />Comfort in the soul is lacking. Very thin and provides hardly any cushioning. I'm 6'2&#34; 185lbs and I won't even attempt to wear these around the course. Five minutes in the back yard is all I needed to know before I sent them back.<br /><br />I'm a huge fan of ASICS's Gel Kinsei running line, but the Matchplays are disappointing. If you're a fan of the style they definitely look good, but lack in overall comfort.",2
"Fantastic product, I am a repeat Costa customer. A little slow on the shipping. Other than that totally satisfied.",3
"These are very comfortable and fit great, but I did order a half size smaller than I normally wear.",3
I bought 3 pairs for my mom. They are functional & stylish  The fit is true to size,4
The slippers were too easy to step out of while walking.,1
"I already own four pair of Yucatan Sandals and have found them very comfortable from the first wearing.  This pair however, in Ice Flower, felt narrow and uncomfortable because the forefoot strap is noticeably tighter than with the other colors I own.  I don't know if it would stretch with wearing because I returned them.  I did like the color.",2
"Comfortable but they are gold shimmery, not natural. Returning. Ordered half a size larger due to pointy toe.",1
"Who knew?  I love these shoes. They're comfortable, they give good support, they're light.  I'd buy them again, if they were offered.",4
Another great shoe fro Crocs!,3
Does both can feed only for small kids with a small food never recommend,0
I like the shoe from previous purchase of the same shoe but this time I ordered a black and a white pair of the size I wear and they were both a little shirt so I need to send them back and get the next size up.,2
Cute cute cute! I was concerned that like most other glitter shoes I would leave a trail of gitter whereever I went. NOPE the glitter stays on the shoe. Awesome! IT is a hard sole but not a noisy shoe. Awesome! There is some cushion so I can wear these all day. Awesome! The one drawback well two small ones.. is that i have to really wrestly the strap to get it to stay in place while I am trying to adjust it to the right hole to buckle. The peg is a smidge short so as you pull the strap tight the peg pops out of the hole. And the height of the side of the shoe hits right under the ankle on the outside of the foot. I put a band aid on the inside of the shoe to keep it from rubbing and it works great. As for the strap minor issue. Overall great shoe and I like it. Shipped fast and packaged up nicely. It was a good purchase. I am satisfied. I am getting what I want from this shoe.,3
"My four year old grandson loves these.  He put them on as soon as they arrived in the mail - in August on a hot day.  He continued wearing them for several hours until his dad finally made him take them off.  My grandson is autistic and is very picky about what he will wear or not wear, so I was pleasantly surprised by how well he liked these.",3
Way too big and the strap broke when putting  them on so the flower girls had to go barefoot for the wedding.,0
Look and feel great!,4
maybe it's coz i don't really put on high heels a lot. they are cute though,2
"So far so good.  I do like the fit though i could have probably gone with a more narrow shoe.  They are still not quite as comfortable as the 2150 and 2170's that i have had in the past (thus the 4 star instead of 5 star rating), but much better than the other recent ones i have owned.  Sure to miss my 2150's -- by far the BEST shoe i have ever owned!",3
they were for my mom she love them,4
I had a little trouble getting the correct angle to read with.,3
Great price on a great pair of boots.  Fit perfect.,4
I will keep them but I wish they were a bit longer,2
Dislike,0
Broke in the first week,0
Good,3
"Sooo warm. Wear as shoes with no socks in bitter cold, especially when there is snow/ice/sleet out.",4
This is a grat shoe,3
"Color not as expected. Pic in website was gray.  Because my flight was hours after the arrival of my shoes, I had to take.  Shoes were too tight as well.",1
going to return them :(,1
"nice comfy soft shoes, I had never heard of this company before and am glad that I do now!",4
Love my water shoes! Matches my dive suit as well! Nice quality for simple water shoes. If you want arch support you can add a Doctor Shoals gel insert in there like I did! But,4
"Everything about the shoe is great.... except the durability. I wore these shoes regularly for about a month before the back wore out and the treads wore through to the fabric. I would definitely not purchase these again because I expect to be able to get a years worth of wear out of a pair of shoes.<br />The material is clearly very poor quality, which explains the price. What a shame! I am really bummed about how beat up my one-month old shoes are. I encourage looking for slightly higher quality shoes. This deal is not worth it.",1
My daughters loved this colorful design. Great quality as I have come to expect from Kipling bags and accessories. Very Satisfied customer.,4
"Leather shoes lined in PLEATHER - I don't get it.  Plastic linings make your feet sweat all day. Returned, which is a shame because the shoes are cute.",1
"Nice shoes, somewhat comfortable, but breaking up so quickly.",2
"Very nice shoes, comfortable and cute. Could probably dance in them all night if I had to. The only problem is they were too big.  But to be fair, I range between 5.5 and 6 and I got these in a 6.  Luckily I was able to sell these to someone who needed a size 6 so I ordered a new pair in 5.5.  If you range between sizes, get the smaller one.  Although, even in a 6, I was able to dance.  It was just obvious  that they were big. All in all, a good shoe.",3
"Update:<br />Just ordered a second pair (lost the first ones haha). Again, they're not my go-to sunglasses, but they're just fine for a backup pair, or a main pair for anyone that only wears sunglasses occasionally). I noticed some comments about the sizing.. They're definitely adult sunglasses, but I do agree that they're a little bit smaller than other sunglasses I own. My boyfriend borrowed them in the car the other day and they were pretty tight on him, but I imagine they would work for most adult women, as well as older kids and teens.<br /><br />Original review:<br />Really like these. I wanted a backup pair of sunglasses to bring on vacation, and they look fairly similar to my $200 pair that are the same style and color. The quality is of course not the same, but they're just fine for the beach. The lenses are great—dark enough to provide plenty of protection, but still easy to see through (though the brownish red tint is a little on the strong side). They're good overall, and excellent for the price. I usually wear them any place I'm afraid I will lose my more expensive pair, and I definitely feel like I'm getting my $7 worth!",3
Nice dance shoe. Fits perfectly.,3
Very cute as shown In picture but they are a size off.  Highly recommended to order a full size up!!!,0
"We only used these twice. They were so difficult to put on that we never felt my son's feet ever got down into them properly, even though it seemed like the foot itself should have had plenty of room.",2
"Walk in' the Dogs! In summer comfort... I cannot wear their ballet style but this is perfect, affording my  bunions room to comfortably breathe. Will reorder when time to replenish. Amazon price beats ALL!",4
Really fast and the product is perfect. Thanks,4
Terrible<br />so uncomfortable and my teeth were black from the dye on my first wear<br />Returned.,0
These are very comfortable.,4
"Not good for me at all.  Have to return them but not sure how to go about that since there was no receipt, tags or any kind of paper work.  Please advise.",0
To big & can't see well,0
They're pretty darn great.,4
Not for wide feet,2
"Did not notice that they were side.... other than that, they would have been fine.",3
"These are my absolute FAVORITE shoes! So comfy, I can walk in them ALL day and I'm a pretty big gal. True to size, I have some-what of a wide foot when it comes to name brand but I am not disappointed with these! My new fav shoes!",4
"Wow, these run big.  If your kid has chubby feet, buy these,  otherwise, don't.  They are just too big all over.  I should have sent them back.",1
"Too narrow and not long enough, will be returning or selling to a friend - very cute though.",2
Very comfortable shoe. Runs a little big but not to bad.,3
Top strap doesn't hold foot in place when walking. Not comfortable and returning them,1
"Don't have good support. If you struggle with foot cramps from not having adequate support, then these are not for you.",1
Great comfortable boot but poorly made. Less than 2 weeks use and the lace eyelets are coming apart. should be made tougher,2
This is my third pair of Tevas but these don't fit at all like the others I have.  I'll be returning them :(  Too bad too- they are SO cute!,0
"I am in love with these boots!  I can definitely recommend giving them a try, if you like the style.  Very comfortable.  Great price.",4
So cute but my 16 lb 5 month old can just now wear them,3
"Very, very cheap made. Very disappointed.",0
They get warm so you can't keep them on to long.,3
Love all the storage pockets & is very beautiful. Now I want the billfold.,4
"Really comfortable, great flats. Not much arch support but it is not my main concern.",3
