review_id,iteration,classify_agent,validation_agent,master_agent_dynamic,iteration_elapsed
66,1,13.83,3.76,0.0,17.59
67,1,11.86,3.64,3.8,19.31
67,2,14.49,3.97,0.0,18.46
68,1,14.53,3.8,3.14,21.47
68,2,14.79,2.56,0.0,17.35
69,1,13.14,3.06,0.0,16.19
70,1,12.76,4.3,5.51,22.58
70,2,16.39,3.99,4.1,24.48
70,3,17.27,4.37,0.0,21.64
71,1,12.78,2.56,0.0,15.34
72,1,13.4,3.07,0.0,16.47
73,1,12.79,4.19,3.17,20.15
73,2,14.44,4.56,0.0,19.0
74,1,15.8,4.51,4.81,25.12
74,2,15.38,2.47,0.0,17.85
75,1,12.54,5.12,9.31,26.98
75,2,17.02,2.84,0.0,19.86
76,1,12.03,2.15,0.0,14.18
77,1,13.03,4.83,4.39,22.24
77,2,16.21,4.88,0.0,21.09
78,1,15.69,4.0,4.17,23.85
78,2,15.03,3.29,0.0,18.32
79,1,12.47,3.17,4.96,20.6
79,2,14.5,2.97,6.66,24.12
79,3,27.59,2.5,0.0,30.09
80,1,11.16,3.47,3.88,18.51
80,2,17.91,2.73,0.0,20.64
81,1,15.81,5.32,6.51,27.64
81,2,19.54,2.82,0.0,22.36
82,1,11.58,3.56,3.18,18.32
82,2,15.38,3.17,3.56,22.11
82,3,16.8,2.82,0.0,19.63
83,1,12.82,2.55,0.0,15.38
84,1,16.36,6.07,7.86,30.28
84,2,19.74,2.72,0.0,22.47
85,1,14.28,3.2,4.06,21.54
85,2,13.72,2.75,0.0,16.47
86,1,12.9,4.06,5.87,22.83
86,2,16.28,2.99,0.0,19.27
87,1,13.14,6.09,7.34,26.56
87,2,21.73,14.34,0.0,36.07
88,1,21.78,18.34,6.22,46.35
88,2,14.52,3.19,0.0,17.71
89,1,32.71,14.92,16.98,64.61
89,2,26.11,4.91,0.0,31.03
90,1,16.25,2.65,0.0,18.91
91,1,14.73,2.87,0.0,17.6
92,1,13.59,4.3,5.22,23.11
92,2,16.6,2.44,0.0,19.04
93,1,12.57,3.49,4.82,20.87
93,2,16.89,2.55,0.0,19.45
94,1,15.76,5.01,6.96,27.73
94,2,22.84,5.32,4.61,32.77
94,3,23.22,3.1,0.0,26.32
95,1,17.07,6.31,8.74,32.12
95,2,30.93,4.3,9.7,44.92
95,3,23.99,3.28,0.0,27.27
96,1,12.68,5.84,6.87,25.38
96,2,18.74,4.29,5.54,28.57
96,3,23.45,5.43,0.0,28.88
97,1,13.58,3.68,3.69,20.96
97,2,16.33,2.3,0.0,18.63
98,1,9.9,3.28,3.17,16.35
98,2,12.68,3.03,0.0,15.7
99,1,12.94,4.83,8.35,26.12
99,2,15.8,2.15,0.0,17.95
