review_id,rating,title,validated_features,bundle_confidence,coverage_score,coherence_score,preliminary_overall_score
45,5.0,As good as advertised,,0.0,0.0,0.0,0.0
46,5.0,Good cord,,0.0,0.0,0.0,0.0
47,5.0,Great cover and protection,,0.0,0.0,0.0,0.0
48,1.0,Don’t buy this product,durability_reliability,0.2018,0.2105,0.7206,0.3086
49,2.0,Disappointed,,0.0,0.0,0.0,0.0
50,5.0,Five Stars,ease_of_use|performance_quality,0.3117,1.0,0.8591,0.6621
51,2.0,Very Disappointing,performance_quality,0.3151,1.0,0.7603,0.6439
52,5.0,Great headsets,performance_quality|design_comfort,0.2543,1.0,0.839,0.6322
53,5.0,Great Case,design_comfort,0.3001,0.4,0.755,0.4261
54,5.0,Great Product,ease_of_use,0.3612,0.6154,0.7764,0.5332
55,5.0,Great Product,ease_of_use,0.3443,1.0,0.7705,0.659
56,4.0,Worthy Purchase!,packaging_shipping|performance_quality,0.2791,0.32,0.8477,0.4071
57,2.0,This thing has a mind of its own…..,,0.0,0.0,0.0,0.0
58,5.0,Easy connect,ease_of_use|connectivity_compatibility,0.2294,0.6154,0.8303,0.4847
59,1.0,Junk,value_for_money,0.3253,0.3077,0.7639,0.4068
60,5.0,Good purchase,performance_quality,0.297,0.6154,0.754,0.4998
61,5.0,Happy with purchase,performance_quality,0.2927,1.0,0.7524,0.6322
62,4.0,"Big,sturdy and easy zippers",ease_of_use|durability_reliability,0.1934,0.4706,0.8177,0.4153
63,5.0,Five Stars,,0.0,0.0,0.0,0.0
64,5.0,Five Stars,,0.0,0.0,0.0,0.0
65,5.0,Great quality and fit!,performance_quality|design_comfort|battery_life|durability_reliability,0.3022,0.4516,0.9558,0.4852
66,3.0,"Decent, but the design is flawed.",design_comfort,0.1824,0.093,0.7138,0.2574
67,5.0,Five Stars,,0.0,0.0,0.0,0.0
68,2.0,Flimsy stamd,,0.0,0.0,0.0,0.0
69,2.0,Manufacturers defect and terrible customer support.,,0.0,0.0,0.0,0.0
70,5.0,Very nice! I love my new larger screen Kindle,,0.0,0.0,0.0,0.0
71,5.0,Love it! It fits my Chromebook perfectly,,0.0,0.0,0.0,0.0
72,1.0,Horrible. It did not amplify anything,,0.0,0.0,0.0,0.0
73,5.0,Great quality and more stations than bunny ears,performance_quality|ease_of_use|value_for_money,0.2937,0.6316,0.9528,0.5438
74,5.0,Excited to swim with these!!!,,0.0,0.0,0.0,0.0
75,5.0,Easy to install,ease_of_use,0.4052,0.4706,0.7918,0.5054
76,5.0,Recommended,,0.0,0.0,0.0,0.0
77,5.0,Dot,,0.0,0.0,0.0,0.0
78,5.0,Double Din Car Stereo Android 9.0 Quad Core 7 Inch HD,value_for_money,0.3155,0.1951,0.7604,0.3624
79,3.0,Carxtc Double Din Install Car Stereo Dash Kit for a Aftermarket Radio,,0.0,0.0,0.0,0.0
80,4.0,ASURION 3 Year Portable Electronic Accident Protection Plan with Tech Support  $20-29.99,,0.0,0.0,0.0,0.0
81,4.0,ASURION 2 Year Portable Electronic Accident Protection Plan with Tech Support $150-174.99,,0.0,0.0,0.0,0.0
82,5.0,TOTO A6 Double Din Android Car Navigation Stereo with Dual Bluetooth - Standard A6Y2710SB,ease_of_use|connectivity_compatibility,0.3075,0.2286,0.8576,0.3899
83,4.0,Double Din Car Stereo GPS Navigation for Car 6.2 Inch Touch Screen,,0.0,0.0,0.0,0.0
84,4.0,"Dual Electronics XDVD276BT 6.2"" LCD Touch Screen Double Din",ease_of_use,0.3071,0.2857,0.7575,0.3897
85,4.0,good product at a decent price,value_for_money,0.2072,0.4444,0.7225,0.3933
86,4.0,assemble as instructed,,0.0,0.0,0.0,0.0
87,4.0,use as intended,,0.0,0.0,0.0,0.0
88,4.0,good product at a decent price,value_for_money,0.1979,0.2222,0.7193,0.3107
89,5.0,good product at a decent price,value_for_money,0.1963,0.1667,0.7187,0.2904
90,5.0,good product at a decent price,ease_of_use|value_for_money,0.2718,0.7059,0.8451,0.5384
91,5.0,good product at a decent price,ease_of_use|value_for_money,0.2631,0.7059,0.8421,0.5338
92,3.0,supernight bluetooth keyboard,,0.0,0.0,0.0,0.0
93,3.0,Dual dash cam,,0.0,0.0,0.0,0.0
94,5.0,Wavlink,,0.0,0.0,0.0,0.0
95,5.0,16g cork usb,,0.0,0.0,0.0,0.0
96,5.0,Five Stars,,0.0,0.0,0.0,0.0
97,5.0,Five Stars,,0.0,0.0,0.0,0.0
98,5.0,Five Stars,,0.0,0.0,0.0,0.0
99,4.0,Four Stars,,0.0,0.0,0.0,0.0
